Representation,Embedding_Model,Clustering_Algorithm,K_or_Params,ARI,NMI,Silhouette,Noise_Fraction
abstract,sentence-transformers-all-MiniLM-L6-v2,kmeans,11,0.2713542941171403,0.4786198625697725,0.0424099005758762,
abstract,sentence-transformers-all-MiniLM-L6-v2,kmeans,12,0.2748837034889555,0.4914267409864229,0.0420644655823707,
abstract,sentence-transformers-all-MiniLM-L6-v2,gmm,3,0.3753126627046973,0.3900423227378989,0.0580417923629283,
abstract,sentence-transformers-all-MiniLM-L6-v2,gmm,4,0.3285823675258951,0.4100467821266332,0.0528582632541656,
abstract,sentence-transformers-all-MiniLM-L6-v2,gmm,5,0.4005490379280948,0.4836014798447555,0.0553383976221084,
abstract,sentence-transformers-all-MiniLM-L6-v2,gmm,6,0.4313576397731138,0.5066810984091363,0.0518678575754165,
abstract,sentence-transformers-all-MiniLM-L6-v2,gmm,7,0.4054754510943114,0.4931826313250533,0.0524742901325225,
abstract,sentence-transformers-all-MiniLM-L6-v2,gmm,8,0.3173831267385633,0.4859663690237994,0.0413208603858947,
abstract,sentence-transformers-all-MiniLM-L6-v2,gmm,9,0.3225413347290185,0.5052168313416787,0.0413390211760997,
abstract,sentence-transformers-all-MiniLM-L6-v2,gmm,10,0.3052167067387854,0.48984570180047,0.0395956486463546,
abstract,sentence-transformers-all-MiniLM-L6-v2,gmm,11,0.3326141068531899,0.516213380427173,0.042338453233242,
abstract,sentence-transformers-all-MiniLM-L6-v2,gmm,12,0.3068194200257262,0.5043874412555248,0.0435569323599338,
abstract,sentence-transformers-all-MiniLM-L6-v2,hdbscan,5,0.6306447024158516,0.6457336999801515,0.0836313143372535,0.7486
abstract,sentence-transformers-all-MiniLM-L6-v2,hdbscan,10,0.7037592160902479,0.7193980477930959,0.1509571075439453,0.808
abstract,sentence-transformers-all-MiniLM-L6-v2,hdbscan,20,0.7930171805629669,0.7753047767060688,0.1855213046073913,0.8766
abstract,sentence-transformers-all-MiniLM-L6-v2,hdbscan,30,0.8490392050820035,0.8073593773493007,0.2209380865097046,0.9052
abstract,sentence-transformers-all-MiniLM-L6-v2,hdbscan,50,0.9417488387191568,0.8992949325558883,0.2421789467334747,0.9244
abstract,sentence-transformers-all-MiniLM-L6-v2,hdbscan,100,0.927438923029479,0.8833480168620876,0.2424164414405822,0.9194
abstract,sentence-transformers-all-mpnet-base-v2,kmeans,3,0.3446391684052154,0.3899063720604,0.061814434826374,
abstract,sentence-transformers-all-mpnet-base-v2,kmeans,4,0.4166358304227397,0.453844595152399,0.0642129108309745,
abstract,sentence-transformers-all-mpnet-base-v2,kmeans,5,0.3954942478940653,0.488227781385452,0.0624436140060424,
abstract,sentence-transformers-all-mpnet-base-v2,kmeans,6,0.308561823751808,0.4708611326419953,0.050558790564537,
abstract,sentence-transformers-all-mpnet-base-v2,kmeans,7,0.3027122822433357,0.4679926946548015,0.0525802746415138,
abstract,sentence-transformers-all-mpnet-base-v2,kmeans,8,0.3262908721858439,0.5074637549665855,0.0475716069340705,
abstract,sentence-transformers-all-mpnet-base-v2,kmeans,9,0.3385515393426611,0.5194324538891837,0.0465393103659153,
abstract,sentence-transformers-all-mpnet-base-v2,kmeans,10,0.3218867421156914,0.5084372783961432,0.0478677004575729,
abstract,sentence-transformers-all-mpnet-base-v2,kmeans,11,0.3193095792747992,0.519971285954998,0.0470215864479541,
abstract,sentence-transformers-all-mpnet-base-v2,kmeans,12,0.3378656697107929,0.5275858830269451,0.0501433871686458,
abstract,sentence-transformers-all-mpnet-base-v2,gmm,3,0.3446391684052154,0.3899063720604,0.061814434826374,
abstract,sentence-transformers-all-mpnet-base-v2,gmm,4,0.2373876468881851,0.3774852951855988,0.040913313627243,
abstract,sentence-transformers-all-mpnet-base-v2,gmm,5,0.2229658947281377,0.4068707328920449,0.040624164044857,
abstract,sentence-transformers-all-mpnet-base-v2,gmm,6,0.308561823751808,0.4708611326419953,0.050558790564537,
abstract,sentence-transformers-all-mpnet-base-v2,gmm,7,0.357045377301102,0.4663717333157831,0.0598580092191696,
abstract,sentence-transformers-all-mpnet-base-v2,gmm,8,0.3085185012233203,0.4758220199592076,0.0547043718397617,
abstract,sentence-transformers-all-mpnet-base-v2,gmm,9,0.2738604014749838,0.4550104052092,0.0538311414420604,
abstract,sentence-transformers-all-mpnet-base-v2,gmm,10,0.2961475695056867,0.49617890555616,0.0488687381148338,
abstract,sentence-transformers-all-mpnet-base-v2,gmm,11,0.2578998576164831,0.4675895483293057,0.0475260689854621,
abstract,sentence-transformers-all-mpnet-base-v2,gmm,12,0.2807203983266946,0.5022567191819224,0.0476664789021015,
abstract,sentence-transformers-all-mpnet-base-v2,hdbscan,5,0.0003007750294913,0.0026175181469496,0.0300560276955366,0.3142
abstract,sentence-transformers-all-mpnet-base-v2,hdbscan,10,0.0564178809964755,0.1854867551167509,0.0459121279418468,0.6238
abstract,sentence-transformers-all-mpnet-base-v2,hdbscan,20,0.7089048447694423,0.7232674928001218,0.1752753853797912,0.8302
abstract,sentence-transformers-all-mpnet-base-v2,hdbscan,30,0.7859416298762887,0.7808949684385961,0.1919406801462173,0.8504
abstract,sentence-transformers-all-mpnet-base-v2,hdbscan,50,0.8303507135344301,0.7966549493798935,0.1982184946537017,0.849
abstract,sentence-transformers-all-mpnet-base-v2,hdbscan,100,0.7657641610191793,0.7154292279658956,0.1994693726301193,0.8644
triples,allenai-scibert_scivocab_uncased,kmeans,3,0.2283280404983065,0.2285507621910829,0.0854684486985206,
triples,allenai-scibert_scivocab_uncased,kmeans,4,0.3822262212496765,0.3356599260632669,0.0955724269151687,
triples,allenai-scibert_scivocab_uncased,kmeans,5,0.3509316150452692,0.3085731305074968,0.0917650535702705,
triples,allenai-scibert_scivocab_uncased,kmeans,6,0.3668505483944723,0.3447803525209803,0.0913736075162887,
triples,allenai-scibert_scivocab_uncased,kmeans,7,0.2851796981236336,0.3318741773809366,0.0673326849937439,
triples,allenai-scibert_scivocab_uncased,kmeans,8,0.2849784661434937,0.3356629748347158,0.0660773441195488,
triples,allenai-scibert_scivocab_uncased,kmeans,9,0.299324739096237,0.3498542751348614,0.0644835755228996,
triples,allenai-scibert_scivocab_uncased,kmeans,10,0.2616055533173939,0.3389224503137036,0.0609051100909709,
triples,allenai-scibert_scivocab_uncased,kmeans,11,0.2345966552059526,0.3348892251688599,0.0602193661034107,
triples,allenai-scibert_scivocab_uncased,kmeans,12,0.1898861042444548,0.3265599965755434,0.050611525774002,
