classifier_representation,model_alias,num_examples,num_train,num_val,best_epoch,best_val_loss,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,cohen_kappa,top3_accuracy
abstract,scibert,10000,8000,2000,3,0.5713375126756728,0.8245,0.6442213317472111,0.5698311419937648,0.5771294344163226,0.8222228475936233,0.8245,0.8194423992767794,0.7826119442817001,0.7823885368976975,0.969
hybrid,scibert,10000,8000,2000,3,0.5746097258403897,0.8235,0.6295102808144539,0.56389955898385,0.568780845533479,0.8206072923600368,0.8235,0.8182759182984108,0.7813065253011885,0.7810503751605682,0.971
concatenate,scibert,10000,8000,2000,3,0.5751718410477042,0.822,0.6188484044947103,0.558645068441185,0.5613440552531082,0.8185012606072684,0.822,0.8165055057279934,0.7795305197905233,0.7792868112090061,0.969
quality_hybrid_banded,scibert,10000,8000,2000,3,0.5751008521541953,0.821,0.5722299684073582,0.5612854409994907,0.5594133543585763,0.8130259987358086,0.821,0.8153183142262401,0.7783195866363805,0.7781055919870087,0.97
quality_hybrid_top5,scibert,10000,8000,2000,3,0.5760489773787558,0.819,0.6196961778069758,0.5553800955929056,0.5618658247930947,0.8161302428511243,0.819,0.8141216676939298,0.7758888639343097,0.7756725562948791,0.971
quality_hybrid_top50,scibert,10000,8000,2000,3,0.5712409074753523,0.819,0.6107647392743393,0.5539417033154722,0.5565397539658774,0.8145506037538042,0.819,0.8131804121395481,0.7757891073589666,0.775550088291899,0.972
triples,scibert,9855,7884,1971,2,0.9181204773636482,0.7351598173515982,0.4154305668251115,0.3624546483414724,0.3753500795673107,0.7049251284590641,0.7351598173515982,0.7142794666079216,0.6671062743836508,0.6656379891390892,0.898021308980213
